job_id,submission_time,num_iteration,model_name,deadline,batch_size,num_gpu,duration
471b2038-3b60-446e-c13a-179989a0685e,245182,66668,inception3,275037,128,1,26019
4eb16892-75cf-e82c-a414-e9fb445c61f1,245183,178218,resnet50,282508,64,1,26044
27c61236-efd0-03d0-19e3-8b6544d89a45,245183,154571,bert,275190,64,1,25631
30c059e0-8bd0-0908-8b73-d4521a956e55,245183,92994,bert,280608,128,1,26013
1ce1f3af-6c22-167b-fa4e-df5a8471a52c,245184,123558,inception3,264203,64,1,25631
da2329c8-d128-b80b-949d-94e29caeb54f,245184,188626,gpt2,276172,128,1,25808
46a1e473-df82-f12f-5383-9c0f2d839318,245184,94937,resnet50,282496,128,1,25972
e813bdc6-25bd-f494-5e6e-7e00dc124f44,248090,31129,gpt2,250181,256,4,2721
0c652ac0-66ba-9945-8455-f4ef63651ce9,248760,26599,gpt2,255195,256,1,6492
4b88146b-2c7d-5b6b-c844-3b711ff294f8,248760,10290,deepspeech2,255965,64,1,6432
2f7f792b-79b7-e8d8-0a79-be49eb712852,248760,10463,deepspeech2,252512,64,1,6540
c2abd8e0-f219-ec35-a69e-22fd542092e1,248761,19813,deepspeech2,255778,32,1,6554
8971ff47-1141-8142-7df7-82ebe88f823d,248761,26952,gpt2,256858,256,1,6578
5639a196-9d76-52ce-41d5-f6269a8d39c5,248761,26731,gpt2,252045,256,1,6524
f5f71def-2318-c5c6-e3c3-ecf705a4702b,248761,44376,resnet50,252728,64,1,6485
527420a1-6139-86e9-3ae8-cc86702a9bd3,248761,32334,vgg16,256258,64,1,6399
c35b83fb-a024-2eee-b792-338f85fba303,248761,10463,deepspeech2,254670,64,1,6540
6a726a86-f984-166a-1f88-ee0bf36cf018,248761,39108,bert,256699,64,1,6485
bf9cd75c-0637-66dd-9729-0c024af53dfe,248763,47850,gpt2,253076,128,1,6547
8020982d-127e-e8b1-9a87-a83d8ab41c5b,248763,31594,inception3,254383,64,1,6554
6a9199ed-3196-6282-ccb6-588f61b1ad35,248764,10397,deepspeech2,252395,64,1,6499
bedc140f-bf1e-2b91-4c98-0eeca027a9a4,248764,16649,inception3,253761,128,1,6498
65df1bb3-19b5-94f7-a634-f02e4a6b6dcf,248764,11781,resnet50,253769,256,1,6391
f8d9f45f-8bd0-ca6c-275d-e2c489bf9377,248764,10308,deepspeech2,253255,64,1,6443
c27b7491-cde0-81fa-f8d4-b975fcff9ed9,248765,45013,resnet50,257247,64,1,6578
abd16c63-7fcc-a09e-9149-2453135d0ddd,248765,32561,vgg16,258335,64,1,6444
b54211a4-e11f-4efd-48ab-d32e5eb4360a,248766,44260,resnet50,253229,64,1,6468
d9f861ea-6d2a-f6e3-5829-7e5612ddedc0,248766,8487,vgg16,253071,256,1,6461
e2655d96-24df-613b-10e8-a2cb185bc5f5,248767,31223,inception3,257117,64,1,6477
ba26dbc3-2d3b-4adc-6386-d673412dff6c,248768,23136,bert,258291,128,1,6472
33b90c47-4007-c07a-b220-96bcdc61cc72,248768,8444,vgg16,255044,256,1,6428
0022cc35-b695-1195-caad-191658a59bff,248768,23909,resnet50,252149,128,1,6541
4e7c39c2-fdb1-080f-37d4-25bbd2e54b9e,248769,12046,resnet50,256355,256,1,6535
62684b43-408c-d80d-d175-b167175ec2b5,250633,627799,vgg16,336352,256,8,78510
9cc37e56-c9f0-6339-553c-c03a3f64ec06,250638,87274,vgg16,259261,128,8,6430
5b3cf9fe-73de-1685-3a97-d80450fca476,250645,752662,deepspeech2,309439,32,8,76676
7a995fba-7feb-2b41-8fda-8d85520a9f1a,250656,855194,bert,334359,64,8,77322
1ee0946c-c2a0-0944-f8cb-509bea8ac7e2,250665,765448,bert,354312,128,8,76589
228abcd7-7caa-a252-e0ad-01a0936b5322,251395,39018,bert,261006,64,1,6470
f068d554-7f24-c98e-dca9-1aee478a94a7,251395,17003,vgg16,254829,128,1,6478
1e001af7-0112-2d83-a232-df5c85c84ccb,251395,16940,vgg16,255162,128,1,6454
49b549cc-bfb1-e9da-92eb-ff8f95c51842,251395,10364,deepspeech2,257229,64,1,6478
42db7313-0af7-b8a0-b755-4839e0150c0c,251395,44972,resnet50,256009,64,1,6572
3cfca8cd-4000-2588-065f-06d7e5232adb,251395,19980,deepspeech2,261171,32,1,6609
765aa3f5-82aa-bada-7201-5af70e75e4ab,251396,31372,inception3,256187,64,1,6508
291022d3-eca8-3ba9-56a0-faa54fbe6dca,251396,39524,bert,254762,64,1,6554
9cfa9b4a-27ec-d6b6-db4e-b35655ad1993,251396,23993,resnet50,257253,128,1,6564
f918455b-342c-342e-63f4-bc0f7ce43aec,251397,16680,inception3,256596,128,1,6510
3c1719ad-475c-d160-25af-60043869d8e2,251397,47587,gpt2,257064,128,1,6511
929ba6f8-5dc9-8246-1d98-32e1217e52e6,251398,17184,vgg16,258716,128,1,6547
5ed03451-a13a-36db-8a12-ff3054bf2f54,251398,23957,resnet50,260311,128,1,6554
e26224bb-2101-f87d-0a45-6ebbcc6cb94e,251399,17047,vgg16,258633,128,1,6495
ab4611be-0517-c4ef-a578-391987ab7bda,251399,32329,vgg16,256918,64,1,6398
3065b3a2-4afc-6fef-8a27-9be10e4683dd,251399,16662,inception3,256473,128,1,6503
c9cfcefb-26e6-d3f6-d067-cc1b65be2ecd,251400,23511,resnet50,259812,128,1,6432
3ed6e353-0ea6-d1fe-c00d-1d9d1b165e42,251400,11974,resnet50,255990,256,1,6496
1388d21e-6053-42f3-3ee5-3a20b7e4590d,251400,22872,bert,256297,128,1,6398
e10b4445-5c35-2183-25be-0e503e6beee6,251401,11858,resnet50,260376,256,1,6433
659eff7e-39ba-880a-107e-d9af52e819a5,251402,44055,resnet50,255010,64,1,6438
9df7a72f-fdfc-8b51-c82f-dccf15e18488,251402,38535,bert,256190,64,1,6390
6381bbd7-271f-fe38-a6fe-42117fe8b570,251403,32142,vgg16,258833,64,1,6361
836da569-d8e5-080a-1070-53c47ddfbc34,251404,19587,deepspeech2,257331,32,1,6479
25dd2524-0835-8e9c-3a29-eb47872bdc25,251404,10313,deepspeech2,260787,64,1,6446
14ca6d82-6844-f776-4f7c-0c4e51362635,251734,49241,inception3,253827,64,16,3596
aceab138-3e62-0898-b557-6846ee7616d1,253277,6844,deepspeech2,254813,32,1,2264
1e3fdf12-3903-9fb3-cbda-c20c15f68117,253315,9267,vgg16,254936,64,1,1834
15e9e019-9a9b-2c83-93a9-390615b19303,253717,67138,gpt2,259278,128,1,9186
0db71d95-0804-05dc-379a-72807d97fb59,253717,23519,inception3,259409,128,1,9179
b6838827-3509-855e-0ac3-5410eb3e0e8a,253717,45977,vgg16,264875,64,1,9099
71297e0f-c77d-4134-1a51-23b01c0e3978,253717,55114,bert,261014,64,1,9139
360bb108-d18c-1169-06c9-9a0aae0136cc,253718,67029,gpt2,259732,128,1,9171
b69cc4fe-0fa1-d48b-1853-0d8ff15a5c37,253718,23355,inception3,261546,128,1,9115
7a8b7aca-b53f-7ddc-15fd-307891f81fad,253718,62414,resnet50,266111,64,1,9121
ce1fd9c4-7b02-fa03-aa51-426586c50e09,253718,43969,inception3,265246,64,1,9121
534f7b30-ed84-65e1-f055-e55d8006bae5,253718,55059,bert,262314,64,1,9130
5b76a06d-e3dc-57a1-e5af-66b6c2916d42,253718,32782,bert,265728,128,1,9170
7e4e4d70-455b-e7a1-c79c-6ed500059930,253720,37277,gpt2,263656,256,1,9098
43974997-fae2-dced-e569-3bb57ff7a5fc,253720,37125,gpt2,267141,256,1,9061
8d99a727-167f-0607-fcc4-0681eb1ba989,253720,23193,inception3,259735,128,1,9052
bddc50ba-594f-dbf8-dbb7-ae2d8746d7c6,253721,37273,gpt2,266277,256,1,9097
b81ae4a3-c4cb-5c68-2319-594f630ee896,253721,11950,vgg16,262368,256,1,9097
2b573ecd-0304-7d1c-5612-872b7700ddb4,253721,32217,bert,261322,128,1,9012
061664a3-5b24-da29-081b-c596891b3e6a,253722,27480,deepspeech2,258324,32,1,9090
d87fed47-97b3-121f-cb09-378a753d34dd,253723,16669,resnet50,265465,256,1,9043
d0f41b30-37f2-7fe6-34ef-bf2fcde68cba,253723,43829,inception3,266359,64,1,9092
008f3fc8-e82f-d8b8-ce86-3135a418587a,253724,32689,bert,264021,128,1,9144
